DateTime,Temperature,Cload_Cover,Global_radiation_horizontal,Diffuse_radiation_horizontal,Global_radiation_tilted_plane,Diffuse_radiation_tilted_plane,Solar_azimuth,Height_of_sun,Predicted Electricity Generated
7/11/2018 8:00,14.203,0,27,11,7,7,120.5,6.7,18813.26367
7/11/2018 9:00,14.203,0,193,40,28,28,130,17.2,44365.61328
7/11/2018 10:00,14.203,0,387,58,107,51,141.2,26.3,56615.90625
7/11/2018 11:00,17.51801,0,542,68,182,60,155.2,33.1,67094.24219
7/11/2018 12:00,17.51801,0,640,73,229,65,171.4,36.8,68876.9375
7/11/2018 13:00,17.51801,0,673,74,240,67,170.6,36.7,67799.33594
7/11/2018 14:00,16.05801,0,638,73,210,65,154.4,32.8,59986.19922
7/11/2018 15:00,16.05801,0,538,68,138,60,140.5,25.9,44855.05078
7/11/2018 16:00,16.05801,0,382,57,49,49,129.4,16.8,26641.13086
7/11/2018 17:00,8.355988,0,188,39,34,34,120.2,6.2,2861.289307
7/11/2018 18:00,8.355988,0,25,10,9,9,112.4,0,4670.698242
7/12/2018 8:00,16.181,0,27,11,8,8,120.4,6.8,18941.63477
7/12/2018 9:00,16.181,0,194,41,29,29,129.5,17.3,43809.10156
7/12/2018 10:00,16.181,0,387,59,103,45,141.2,26.4,55952.06641
7/12/2018 11:00,19.99899,12,542,70,185,62,155.2,33.2,67664.03125
7/12/2018 12:00,19.99899,12,641,75,232,66,171.4,36.9,64822.98828
7/12/2018 13:00,19.99899,12,674,76,243,68,170.6,36.8,65122.00781
7/12/2018 14:00,18.99701,56,640,75,213,67,154.4,33,35301.60938
7/12/2018 15:00,18.99701,56,540,69,142,61,140.5,26.1,27345.62305
7/12/2018 16:00,18.99701,56,383,59,50,50,129.3,16.9,19784.66992
7/12/2018 17:00,17.39999,80,189,40,35,35,120.2,6.3,798.633606
7/12/2018 18:00,17.39999,80,25,11,9,9,112.4,0,2648.746582
7/13/2018 8:00,8.674011,92,28,10,7,7,120.3,6.8,13618.7168
7/13/2018 9:00,8.674011,92,199,37,27,27,129.5,17.4,27824.70898
7/13/2018 10:00,8.674011,92,394,54,109,48,141.1,26.5,35694.25
7/13/2018 11:00,9.287994,68,551,63,185,57,155.1,33.3,44628.08203
7/13/2018 12:00,9.287994,68,650,68,233,61,171.3,37,45044.58203
7/13/2018 13:00,9.287994,68,683,69,244,63,170.6,37,45888.63281
7/13/2018 14:00,8.278015,92,649,68,214,61,154.4,33.1,38617.4375
7/13/2018 15:00,8.278015,92,548,63,142,56,140.4,26.2,15614.33203
7/13/2018 16:00,8.278015,92,391,54,46,46,129.3,17.1,13739.95313
7/13/2018 17:00,4.53299,20,195,37,33,33,120.1,6.4,1336.649536
7/13/2018 18:00,4.53299,20,27,10,9,9,112.3,0,3146.05835
7/14/2018 8:00,6.684998,0,28,12,8,8,120.2,6.9,19838.69922
7/14/2018 9:00,6.684998,0,195,43,30,30,129.4,17.5,47565.44141
7/14/2018 10:00,6.684998,0,388,62,107,47,141,26.6,55588.76953
